"","Country Code","Year","Count"
"201","ASM",1964,22854
"202","ASM",1975,30052
"203","ASM",1983,36412
"204","ASM",1995,53161
"205","ASM",2001,58494
"206","ASM",1978,31269
"207","ASM",1990,47347
"208","ASM",1973,29100
"209","ASM",1972,28567
"210","ASM",1968,25989
"211","ASM",1960,20123
"212","ASM",1974,29596
"213","ASM",1991,48685
"214","ASM",2014,55791
"215","ASM",2009,56683
"216","ASM",1992,49896
"217","ASM",1962,21253
"218","ASM",1981,33701
"219","ASM",1993,51020
"220","ASM",1996,54211
"221","ASM",1998,56171
"222","ASM",1984,37946
"223","ASM",1986,41119
"224","ASM",2008,57492
"225","ASM",2005,59562
"226","ASM",2013,55713
"227","ASM",2004,59681
"228","ASM",1963,22034
"229","ASM",2003,59504
"230","ASM",1987,42740
"231","ASM",1994,52095
"232","ASM",1969,26703
"233","AGO",1994,13503747
"234","AGO",2013,26015780
"235","AGO",1992,12657366
"236","AGO",1968,5771652
"237","AGO",1977,7533735
"238","AGO",2009,22514281
"239","AGO",1986,10320111
"240","AGO",1988,11068050
"241","AGO",2002,17519417
"242","AGO",1996,14400719
"243","AGO",1965,5770570
"244","AGO",1985,9961997
"245","AGO",1993,13075049
"246","AGO",1967,5774243
"247","AGO",2001,16945753
"248","AGO",1997,14871570
"249","AGO",1975,7024000
"250","AGO",2014,26941779
"251","AGO",2012,25107931
"252","AGO",2008,21695634
"253","AGO",2016,28842484
"254","AGO",2003,18121479
"255","AGO",1980,8341289
"256","AGO",2006,20149901
"257","AGO",1976,7279509
"258","AGO",1978,7790707
"259","AGO",1987,10689250
"260","AGO",1961,5531472
"261","AGO",1983,9278096
"262","AGO",1982,8952950
"263","AGO",1999,15866869
"264","AGO",1970,5890365
"265","AGO",2015,27884381
"266","AGO",1995,13945206
"267","AGO",2004,18758145
"268","AGO",1979,8058067
"269","AGO",1974,6761380
"270","AGO",1991,12248901
"271","AGO",1960,5454933
"272","AGO",1972,6248552
"273","AGO",1990,11848386
"274","AGO",1962,5608539
"275","AGO",1966,5781214
"276","AGO",1981,8640446
"277","AGO",1971,6040777
"278","AGO",1969,5803254
"279","AGO",1989,11454777
"280","AGO",2000,16395473
"281","AGO",1984,9614754
"282","AGO",2011,24220661
"283","AGO",1963,5679458
