"","Country Code","year","value"
"163","SOM","1961",191659914.376034
"164","SUR","1961",107700000
"165","SWE","1961",17212686614.5726
"166","SWZ","1961",43025199.4960101
"167","SYC","1961",11592024.3649283
"168","TCD","1961",333975336.626541
"169","TGO","1961",126396469.707058
"170","THA","1961",3034043574.06071
"171","TTO","1961",584961208.656595
"172","TUR","1961",7988888888.88889
"173","UGA","1961",441524109.014675
"174","URY","1961",1547388781.43133
"175","USA","1961",5.633e+11
"176","WLD","1961",1425115081577.84
"177","ZAF","1961",7972996813.99047
"178","ZMB","1961",696285714.285714
"179","ZWE","1961",1096646600
"180","AFG","1962",546666677.777778
"181","ARG","1962",24450604877.6081
"182","AUS","1962",19892485160.7123
"183","AUT","1962",7756110210.11966
"184","BDI","1962",213500006
"185","BEL","1962",13264015675.3193
"186","BEN","1962",236434906.75427
"187","BFA","1962",379567178.256898
"188","BGD","1962",5081413339.78635
"189","BLZ","1962",31856922.8615428
"190","BMU","1962",94149985.9705588
"191","BOL","1962",444665186.397102
"192","BRA","1962",19926293839.0163
"193","BWA","1962",35643207.6265246
"194","CAF","1962",124482748.937917
"195","CAN","1962",42227447631.9159
"196","CHE","1962",11879982758.5619
"197","CHL","1962",5416272727.27273
"198","CHN","1962",47209359005.6057
"199","CMR","1962",699373701.217138
"200","COL","1962",4955543963.36869
"201","CRI","1962",479180824.348506
"202","DOM","1962",824100000
"203","DZA","1962",2001468867.73344
"204","ECU","1962",1518208221.23052
"205","ESP","1962",16138545209.246
"206","FIN","1962",6340580854.39073
"207","FJI","1962",122906434.957814
"208","FRA","1962",75607529809.9288
"209","GAB","1962",182796536.499917
"210","GBR","1962",81247564156.8246
"211","GHA","1962",1382515590.06942
"212","GNQ","1962",9122751.45318345
"213","GRC","1962",5213047711.42704
"214","GTM","1962",1143600000
"215","GUY","1962",194948375.430205
"216","HND","1962",387750000
"217","HTI","1962",281896800
"218","IND","1962",42161481858.7014
"219","IRL","1962",2260349684.08625
"220","IRQ","1962",1954634836.18034
"221","ISL","1962",284916516.159537
"222","ISR","1962",2.51e+09
"223","ITA","1962",50383891898.9911
"224","JAM","1962",777712445.751085
"225","JPN","1962",60723018683.7333
"226","KEN","1962",868111400.014073
"227","KHM","1962",660000008.571429
"228","LKA","1962",1434156378.60082
"229","LSO","1962",41859162.8167437
"230","LUX","1962",741509480.796284
"231","MAR","1962",2379606422.29029
"232","MDG","1962",739286906.851553
"233","MEX","1962",1.52e+10
"234","MRT","1962",164271590.835566
"235","MWI","1962",183116337.673247
"236","MYS","1962",2001502678.6881
"237","NER","1962",531736492.909178
"238","NGA","1962",4909302953.94092
"239","NIC","1962",265291588.666667
"240","NLD","1962",14647057370.1418
"241","NOR","1962",6066976682.67364
"242","NPL","1962",574091101.194382
"243","NZL","1962",6077496267.76294
"244","PAK","1962",4310163796.72407
"245","PAN","1962",652120900
"246","PER","1962",3286773187.87687
"247","PHL","1962",4399827767.96704
"248","PNG","1962",261184037.372302
"249","PRI","1962",2094400000
"250","PRT","1962",3668222357.65702
"251","RWA","1962",125000008
"252","SDN","1962",1541666666.66667
"253","SEN","1962",1085475573.48959
"254","SGP","1962",826244609.95688
"255","SLE","1962",342721579.817636
"256","SOM","1962",203531927.547229
"257","SUR","1962",116150000
"258","SWE","1962",18667251380.0746
"259","SWZ","1962",45927061.4587708
"260","SYC","1962",12642026.5718964
"261","TCD","1962",357635713.876922
"262","TGO","1962",132237441.630863
"263","THA","1962",3308912796.93487
"264","TTO","1962",619319197.340022
"265","TUR","1962",8922222222.22222
"266","UGA","1962",449012578.616352
"267","URY","1962",1710004407.22785
"268","USA","1962",6.051e+11
"269","WLD","1962",1530068789423.03
"270","ZAF","1962",8497996604.20055
"271","ZMB","1962",693142857.142857
"272","ZWE","1962",1117601600
"273","AFG","1963",751111191.111111
"274","ARG","1963",18272123664.4715
"275","AUS","1963",21507447642.5132
"276","AUT","1963",8374175257.73075
"277","BDI","1963",232749998
"278","BEL","1963",14260017387.0492
"279","BEN","1963",253927646.475909
"280","BFA","1963",394040749.12567
"281","BGD","1963",5319458351.16235
"282","BLZ","1963",33749405.0118998
"283","BMU","1963",96366652.3069165
"284","BOL","1963",478805990.083307
"285","BRA","1963",23021477292.2093
"286","BWA","1963",38091150.566196
"287","CAF","1963",129379097.888958
"288","CAN","1963",45029988561.2124
"289","CHE","1963",13063643795.7884
"290","CHL","1963",5668187500
"291","CHN","1963",50706799902.5104
"292","CMR","1963",723624365.288138
"293","COL","1963",4836166666.66667
"294","CRI","1963",511902136.809973
"295","DOM","1963",940799900
"296","DZA","1963",2703014867.32834
"297","ECU","1963",1824344492.07169
"298","ESP","1963",19074913947.7196
"299","FIN","1963",6885920328.66187
"300","FJI","1963",129454728.623599
"301","FRA","1963",84759195105.8693
"302","GAB","1963",154480244.246828
"303","GBR","1963",86561961812.3249
"304","GHA","1963",1540797516.79469
"305","GNQ","1963",10840095.1283649
"306","GRC","1963",5895278024.09202
"307","GTM","1963",1262800000
"308","GUY","1963",175756868.692761
"309","HND","1963",410200000
"310","HTI","1963",294883400
"311","IND","1963",48421923458.7413
"312","IRL","1963",2430843768.44553
"313","IRQ","1963",1978437692.5231
"314","ISL","1963",340061650.119898
"315","ISR","1963",2992333333.33333
"316","ITA","1963",57710743059.8341
"317","JAM","1963",826690466.190676
"318","JPN","1963",69498131797.3333
"319","KEN","1963",926589348.572953
"320","KHM","1963",728571437.142857
"321","LKA","1963",1240672268.90756
"322","LSO","1963",47039059.2188156
"323","LUX","1963",791140595.772755
"324","MAR","1963",2657247327.3392
"325","MDG","1963",759345862.971331
"326","MEX","1963",1.696e+10
"327","MRT","1963",168186331.271262
"328","MWI","1963",190816183.676326
"329","MYS","1963",2510126747.68065
"330","NER","1963",586294761.493516
"331","NGA","1963",5165489010.2198
"332","NIC","1963",292916241.142857
"333","NLD","1963",15891241386.291
"334","NOR","1963",6510239502.76489
"335","NPL","1963",496947904.443033
"336","NZL","1963",6638937283.13963
"337","PAK","1963",4630827383.45233
"338","PAN","1963",722784500
"339","PER","1963",3600957771.15299
"340","PHL","1963",4875309866.34017
"341","PNG","1963",275968039.487715
"342","PRI","1963",2333600000
"343","PRT","1963",3905734459.72693
"344","RWA","1963",1.28e+08
"345","SDN","1963",1568333333.33333
"346","SEN","1963",1122139637.25693
"347","SGP","1963",917614007.578727
"348","SLE","1963",348546952.134368
"349","SOM","1963",216145935.941626
"350","SUR","1963",125950000
"351","SWE","1963",20204870629.7441
"352","SWZ","1963",54128377.4324513
"353","SYC","1963",13923029.2643975
"354","TCD","1963",371767002.655998
"355","TGO","1963",143255784.510751
"356","THA","1963",3540403456.55305
"357","TTO","1963",678235373.038558
"358","TUR","1963",10355555555.5556
"359","UGA","1963",516147798.742138
"360","URY","1963",1539681490.78174
"361","USA","1963",6.386e+11
"362","WLD","1963",1648304927596.87
"363","ZAF","1963",9423396234.41086
"364","ZMB","1963",718714285.714286
"365","ZWE","1963",1159511700
"366","AFG","1964",800000044.444444
"367","ARG","1964",25605249381.7597
"368","AUS","1964",23764139321.3126
"369","AUT","1964",9169983885.71185
"370","BDI","1964",260750008
"371","BEL","1964",15960106680.6732
"372","BEN","1964",269818988.259263
"373","BFA","1964",410321785.631059
"374","BGD","1964",5386054619.34987
"375","BLZ","1964",36193826.1234775
"376","BMU","1964",107566650.637987
"377","BOL","1964",539491477.320156
"378","BRA","1964",21211892259.9904
"379","BWA","1964",41613969.0506064
"380","CAF","1964",142025069.461676
"381","CAN","1964",49377522896.703
"382","CHE","1964",14480556571.5476
"383","CHL","1964",5982347826.08696
"384","CHN","1964",59708343488.5043
"385","CMR","1964",782384527.813649
"386","COL","1964",5973366666.66667
"387","CRI","1964",542578367.242598
"388","DOM","1964",1025599900
"389","DZA","1964",2909351792.58659
"390","ECU","1964",2244146867.90195
"391","ESP","1964",21343844643.7341
"392","FIN","1964",7766655085.78588
"393","FJI","1964",140032741.468329
"394","FRA","1964",94007851047.3678
"395","GAB","1964",215679855.272553
"396","GBR","1964",94407558351.1616
"397","GHA","1964",1731296118.87113
"398","GNQ","1964",12712471.3960211
"399","GRC","1964",6669673257.1183
"400","GTM","1964",1299099900
"401","GUY","1964",194773376.888526
"402","HND","1964",4.57e+08
"403","HTI","1964",325281200
"404","IND","1964",56480289940.8261
"405","IRL","1964",2766608945.87402
"406","IRQ","1964",2340521142.5371
"407","ISL","1964",434267936.914583
"408","ISR","1964",3405333333.33333
"409","ITA","1964",63175417019.0094
"410","JAM","1964",897931401.371973
"411","JPN","1964",81749006381.5111
"412","KEN","1964",998759333.643326
"413","KHM","1964",782857128.571429
"414","LKA","1964",1309747899.15966
"415","LSO","1964",51938961.2207756
"416","LUX","1964",903158753.943622
"417","MAR","1964",2798339768.79755
